retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
6,11,74,0,0,1040,2025-05-15 19:42:45
20,26,236,0,1,4284,2025-05-15 20:42:45
27,32,359,2,1,7259,2025-05-15 21:42:46
32,35,446,3,2,9535,2025-05-15 22:42:47
39,39,502,3,2,11178,2025-05-15 23:42:47
42,40,540,3,3,12142,2025-05-16 00:42:48
43,40,555,3,3,12536,2025-05-16 01:42:49
43,40,563,3,3,12701,2025-05-16 02:42:50
43,40,568,3,3,12823,2025-05-16 03:42:51
43,40,573,3,3,12971,2025-05-16 04:42:51
43,40,581,3,3,13278,2025-05-16 05:42:52
47,44,609,3,3,13924,2025-05-16 06:42:53
51,46,650,3,3,14953,2025-05-16 07:42:54
51,50,685,3,3,15935,2025-05-16 08:42:54
56,52,721,3,3,16837,2025-05-16 09:42:55
58,55,738,4,3,17589,2025-05-16 10:42:56
58,56,757,4,3,18319,2025-05-16 11:42:56
59,58,777,4,3,19017,2025-05-16 12:42:57
60,58,795,4,3,19610,2025-05-16 13:42:58
60,61,816,4,3,20139,2025-05-16 14:42:59
60,62,836,4,3,20648,2025-05-16 15:42:59
60,62,848,4,3,21220,2025-05-16 16:43:16
61,62,866,4,3,22029,2025-05-16 17:58:23
62,64,888,4,3,22822,2025-05-16 19:13:40
61,65,908,4,3,23532,2025-05-16 20:29:00
62,66,929,4,3,24288,2025-05-16 21:44:23
62,68,949,4,3,25002,2025-05-16 22:59:46
62,70,981,4,3,25866,2025-05-17 03:14:03
62,70,986,4,3,25950,2025-05-17 04:29:20
62,69,1000,4,4,26265,2025-05-17 06:59:57
62,69,1017,4,4,26660,2025-05-17 08:15:16
65,72,1043,4,4,27274,2025-05-17 09:45:38
66,73,1067,4,4,27891,2025-05-17 11:46:06
67,74,1078,5,4,28303,2025-05-17 13:01:25
68,74,1085,5,4,28677,2025-05-17 14:16:46
68,75,1095,5,4,29086,2025-05-17 16:02:14
69,76,1110,5,4,29499,2025-05-17 17:47:42
69,78,1118,5,4,29887,2025-05-17 19:48:13
69,82,1122,5,4,30122,2025-05-17 22:49:01
69,82,1122,5,5,30221,2025-05-18 01:34:49
69,82,1123,5,5,30264,2025-05-18 05:35:51
69,82,1123,5,5,30352,2025-05-18 09:06:43
69,82,1124,5,5,30467,2025-05-18 12:22:32
69,81,1126,5,5,30522,2025-05-18 14:53:10
70,81,1128,5,5,30606,2025-05-18 18:24:02
70,81,1130,5,5,30717,2025-05-18 23:25:22
0,0,0,0,0,0,2025-05-15 19:25:17
