retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
10,11,32,2,0,1345,2025-05-19 15:32:02
17,36,74,3,0,3958,2025-05-19 16:32:08
21,54,98,4,0,5698,2025-05-19 17:17:11
27,84,156,7,0,10694,2025-05-19 19:17:41
28,103,178,9,1,13759,2025-05-19 20:17:56
30,126,213,10,2,19201,2025-05-19 22:03:24
32,140,235,11,2,22438,2025-05-19 23:18:44
32,147,244,11,2,23968,2025-05-20 00:18:59
32,154,255,11,3,24816,2025-05-20 01:34:18
32,157,260,11,3,25227,2025-05-20 03:04:41
32,159,260,11,3,25467,2025-05-20 04:35:03
32,160,268,11,3,26160,2025-05-20 06:35:33
32,162,269,12,3,26884,2025-05-20 07:20:45
33,170,280,14,3,28736,2025-05-20 09:06:11
33,175,284,14,3,29674,2025-05-20 10:06:26
35,183,293,14,3,31254,2025-05-20 11:51:52
35,189,297,14,3,31877,2025-05-20 12:37:03
35,191,301,14,3,32997,2025-05-20 14:07:27
36,196,315,14,3,34243,2025-05-20 15:52:53
36,198,318,14,3,34852,2025-05-20 17:08:12
36,198,321,14,3,35489,2025-05-20 18:38:35
36,199,326,14,3,36084,2025-05-20 20:08:58
36,202,327,14,4,36468,2025-05-20 21:24:16
36,206,331,14,4,36845,2025-05-20 22:39:36
36,206,332,14,4,36978,2025-05-20 23:09:44
36,209,337,14,4,37199,2025-05-21 00:10:00
36,209,337,14,4,37325,2025-05-21 01:10:17
36,209,337,14,4,37375,2025-05-21 02:10:33
36,209,337,14,4,37411,2025-05-21 03:10:48
36,209,337,14,4,37444,2025-05-21 03:55:59
36,209,337,14,4,37480,2025-05-21 04:41:10
36,209,337,14,4,37516,2025-05-21 05:26:21
36,209,338,14,4,37611,2025-05-21 06:26:35
36,209,338,14,4,37712,2025-05-21 07:11:46
36,209,340,14,4,37858,2025-05-21 08:12:00
36,213,342,14,4,37995,2025-05-21 09:12:14
36,214,343,14,4,38111,2025-05-21 10:12:28
36,216,343,14,4,38183,2025-05-21 11:12:42
36,216,345,14,4,38235,2025-05-21 12:12:56
36,216,345,14,4,38302,2025-05-21 13:13:11
36,216,346,14,4,38389,2025-05-21 14:13:27
36,216,348,14,4,38481,2025-05-21 15:28:46
36,216,348,14,4,38527,2025-05-21 16:29:01
36,216,348,14,4,38592,2025-05-21 17:29:16
36,218,348,14,4,38664,2025-05-21 18:14:28
36,218,348,14,4,38710,2025-05-21 19:14:43
36,218,348,14,4,38767,2025-05-21 20:15:00
36,219,348,14,4,38835,2025-05-21 21:15:16
36,219,348,14,4,38917,2025-05-21 22:15:32
36,219,348,14,4,38976,2025-05-21 23:00:43
36,219,348,14,4,39027,2025-05-22 00:00:59
36,219,348,14,4,39042,2025-05-22 00:36:08
36,219,348,14,4,39055,2025-05-22 01:06:16
36,219,348,14,4,39066,2025-05-22 01:36:23
36,219,348,14,4,39077,2025-05-22 02:06:30
36,219,348,14,4,39080,2025-05-22 02:36:37
36,219,348,14,4,39089,2025-05-22 03:21:48
36,219,348,14,4,39091,2025-05-22 03:51:56
36,219,348,14,4,39096,2025-05-22 04:22:03
36,219,348,14,4,39100,2025-05-22 04:52:11
36,219,348,14,4,39104,2025-05-22 05:22:18
36,220,348,14,4,39109,2025-05-22 05:52:25
36,220,348,14,4,39125,2025-05-22 06:22:32
36,220,348,14,4,39139,2025-05-22 07:07:43
36,220,348,14,4,39149,2025-05-22 07:37:51
36,220,348,14,4,39151,2025-05-22 08:07:58
36,220,348,14,4,39169,2025-05-22 08:38:06
36,220,349,14,4,39178,2025-05-22 09:08:13
36,220,349,14,4,39191,2025-05-22 09:38:20
36,220,349,14,4,39211,2025-05-22 10:08:28
36,220,350,14,4,39231,2025-05-22 10:38:36
36,220,350,14,4,39241,2025-05-22 11:08:43
36,220,350,14,4,39263,2025-05-22 11:38:50
36,220,350,14,4,39272,2025-05-22 12:08:58
36,220,350,14,4,39289,2025-05-22 12:39:05
36,220,350,14,4,39305,2025-05-22 13:09:13
36,220,350,14,4,39316,2025-05-22 13:39:20
36,220,351,14,4,39349,2025-05-22 14:09:27
36,220,351,14,4,39367,2025-05-22 14:39:35
36,220,351,14,4,39379,2025-05-22 15:09:42
36,220,351,14,4,39393,2025-05-22 15:39:50
0,0,0,0,0,0,2025-05-19 15:10:13
