retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
4,5,40,0,2,390,2025-05-26 17:16:34
18,25,253,1,8,2838,2025-05-26 17:46:42
62,64,603,7,21,8471,2025-05-26 18:31:54
77,84,875,15,28,13714,2025-05-26 19:17:06
93,95,1079,19,39,18466,2025-05-26 20:02:17
111,107,1289,22,50,24303,2025-05-26 20:47:29
119,109,1386,22,54,27796,2025-05-26 21:11:59
131,126,1569,22,65,35220,2025-05-26 21:57:11
143,133,1716,24,69,42373,2025-05-26 22:42:24
151,142,1832,27,71,48129,2025-05-26 23:27:37
161,147,1933,27,77,51923,2025-05-27 00:12:48
162,149,1972,27,80,53576,2025-05-27 00:42:55
165,150,1994,28,79,55212,2025-05-27 01:28:07
167,150,2007,28,80,56273,2025-05-27 02:13:17
167,150,2016,28,80,56953,2025-05-27 02:58:29
167,152,2024,28,80,57710,2025-05-27 03:43:39
168,152,2035,28,82,58352,2025-05-27 04:28:50
169,152,2050,28,82,59194,2025-05-27 05:14:00
171,152,2063,28,83,60108,2025-05-27 05:44:07
172,153,2091,28,85,62256,2025-05-27 06:29:19
174,154,2141,28,87,65757,2025-05-27 07:14:30
177,157,2174,29,89,68702,2025-05-27 07:44:38
179,159,2218,29,89,73112,2025-05-27 08:29:49
181,161,2244,30,89,76043,2025-05-27 08:59:56
188,165,2298,29,92,79856,2025-05-27 09:45:07
192,167,2330,29,92,81822,2025-05-27 10:15:14
198,168,2362,30,92,85112,2025-05-27 11:00:26
205,172,2403,32,94,89370,2025-05-27 11:45:37
205,176,2428,32,94,91865,2025-05-27 12:15:44
213,186,2494,32,95,98916,2025-05-27 14:01:13
216,188,2527,31,95,102111,2025-05-27 15:01:28
220,191,2572,31,95,107903,2025-05-27 16:46:56
222,193,2607,33,96,108555,2025-05-27 17:47:11
223,199,2672,33,96,114870,2025-05-27 19:02:31
227,200,2703,33,98,118579,2025-05-27 20:02:47
232,203,2773,34,99,127075,2025-05-27 21:48:16
232,203,2800,34,100,130489,2025-05-27 22:33:27
233,205,2852,34,103,136537,2025-05-28 00:33:56
236,209,2876,34,103,140930,2025-05-28 02:49:30
237,211,2881,34,104,139453,2025-05-28 04:50:02
241,211,2934,34,104,147040,2025-05-28 08:35:59
244,214,2972,36,104,149434,2025-05-28 09:51:17
249,221,3015,37,105,151185,2025-05-28 12:06:50
253,225,3044,38,106,155562,2025-05-28 14:37:27
254,230,3058,38,106,162090,2025-05-28 16:53:01
257,230,3074,39,106,165205,2025-05-28 18:53:34
257,230,3084,39,107,167270,2025-05-28 20:23:57
258,231,3089,39,107,166398,2025-05-28 22:24:31
257,230,3094,39,107,169934,2025-05-29 01:10:13
257,230,3094,39,107,167689,2025-05-29 02:55:42
257,230,3094,39,107,170239,2025-05-29 05:11:17
257,230,3094,39,107,167944,2025-05-29 06:41:40
258,231,3099,39,107,168599,2025-05-29 09:27:21
258,232,3104,39,107,171721,2025-05-29 11:57:59
258,232,3104,39,107,169475,2025-05-29 13:13:19
258,232,3106,39,107,172220,2025-05-29 15:43:56
259,233,3110,39,106,169978,2025-05-29 17:29:24
259,233,3113,39,106,172705,2025-05-29 20:15:06
0,0,0,0,0,0,2025-05-26 17:07:00
