retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
2,2,25,0,0,354,2025-05-28 01:04:04
2,7,47,0,0,616,2025-05-28 02:04:18
4,7,63,0,0,782,2025-05-28 03:19:38
7,8,74,0,0,861,2025-05-28 04:04:50
8,8,95,0,0,1099,2025-05-28 05:20:10
8,8,100,0,0,1172,2025-05-28 05:35:13
12,11,182,0,0,2304,2025-05-28 07:05:36
14,16,234,0,0,3110,2025-05-28 07:35:43
17,23,337,0,0,5995,2025-05-28 09:06:06
17,34,430,1,0,8163,2025-05-28 10:21:24
19,35,467,2,0,9173,2025-05-28 11:06:35
23,38,519,2,0,10611,2025-05-28 12:36:57
24,41,545,2,0,11319,2025-05-28 13:37:12
24,42,571,2,0,12122,2025-05-28 14:52:31
26,42,601,2,0,12899,2025-05-28 16:07:50
26,42,618,2,0,13501,2025-05-28 17:08:05
27,44,658,2,0,14908,2025-05-28 19:08:38
27,44,663,2,0,15331,2025-05-28 19:53:50
29,46,699,2,0,16365,2025-05-28 21:39:18
30,46,718,2,0,16925,2025-05-28 22:39:35
30,47,745,2,0,17726,2025-05-29 00:09:59
31,47,755,2,0,18020,2025-05-29 01:25:17
31,47,756,2,0,18196,2025-05-29 03:10:46
31,47,758,2,0,18288,2025-05-29 04:26:06
31,48,763,2,0,18366,2025-05-29 05:41:25
31,48,779,2,0,18723,2025-05-29 07:41:55
31,51,791,2,0,19125,2025-05-29 08:57:14
33,54,827,2,0,19776,2025-05-29 10:42:41
35,56,867,2,0,20352,2025-05-29 12:28:07
35,57,880,2,0,20755,2025-05-29 13:43:26
36,57,897,2,0,21161,2025-05-29 15:13:49
36,58,905,2,0,21352,2025-05-29 16:14:03
36,59,916,2,0,21672,2025-05-29 17:44:27
36,60,930,2,0,21973,2025-05-29 18:59:47
36,60,942,2,0,22289,2025-05-29 20:30:10
36,60,949,2,0,22537,2025-05-29 21:45:30
36,61,959,2,0,22883,2025-05-29 23:00:49
36,61,962,2,0,23082,2025-05-30 00:46:16
36,61,962,2,0,23110,2025-05-30 02:46:48
36,61,967,2,0,23200,2025-05-30 18:35:00
0,0,0,0,0,0,2025-05-28 00:20:00
36,61,969,2,0,23300,2025-05-30 22:34:00
36,61,969,2,0,23300,2025-05-30 01:35:00
