retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
22,57,148,4,2,29414,2025-05-15 22:59:03
24,62,167,4,2,32816,2025-05-15 23:59:04
24,65,175,4,3,34710,2025-05-16 00:59:04
25,70,182,4,3,35930,2025-05-16 01:59:05
26,73,186,4,3,36937,2025-05-16 02:59:06
28,79,190,4,4,37905,2025-05-16 03:59:07
29,84,195,3,4,38603,2025-05-16 04:59:07
31,88,198,3,4,39151,2025-05-16 05:59:08
31,88,200,3,4,39519,2025-05-16 06:59:09
31,88,205,3,4,39813,2025-05-16 07:59:09
32,89,206,3,4,40009,2025-05-16 08:59:10
32,90,205,3,4,40138,2025-05-16 09:59:11
33,90,206,3,4,40262,2025-05-16 10:59:12
33,90,208,3,4,40346,2025-05-16 11:59:12
33,90,210,3,4,40447,2025-05-16 12:59:13
34,90,210,3,4,40595,2025-05-16 13:59:14
34,90,212,3,4,40847,2025-05-16 14:59:15
36,91,214,3,4,41198,2025-05-16 16:28:12
36,92,214,3,4,41480,2025-05-16 17:43:22
36,92,215,3,4,41730,2025-05-16 18:58:36
36,95,216,3,4,41959,2025-05-16 20:13:56
36,96,218,3,4,42188,2025-05-16 21:29:18
36,97,219,3,4,42321,2025-05-16 22:44:41
38,99,223,3,4,42738,2025-05-17 05:29:35
38,99,223,3,4,42796,2025-05-17 06:44:54
38,99,222,3,4,42870,2025-05-17 09:00:27
39,99,222,3,4,42902,2025-05-17 11:31:03
39,99,224,3,4,42937,2025-05-17 13:31:33
39,99,223,3,4,42997,2025-05-17 15:47:10
39,99,225,3,4,43077,2025-05-17 18:32:54
38,99,225,3,4,43188,2025-05-17 22:33:57
38,99,224,3,4,43306,2025-05-18 03:05:14
38,99,224,3,4,43375,2025-05-18 06:36:06
37,99,224,3,4,43394,2025-05-18 10:06:58
37,99,224,3,4,43418,2025-05-18 14:07:58
37,99,224,3,4,43451,2025-05-18 16:38:36
37,99,224,3,4,43522,2025-05-18 21:39:55
37,99,224,3,4,43573,2025-05-19 01:56:01
37,99,224,3,4,43626,2025-05-19 04:56:47
37,100,225,3,4,43661,2025-05-19 08:12:37
37,100,226,3,4,43672,2025-05-19 11:43:29
0,0,0,0,0,0,2025-05-15 21:18:20
