retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
297,93,899,12,5,10637,2025-05-16 23:48:11
3005,842,10866,131,86,152360,2025-05-17 00:53:29
5142,1495,20839,206,166,286483,2025-05-17 01:43:09
6204,1762,25708,252,218,357755,2025-05-17 02:13:18
7256,1995,30390,283,251,422030,2025-05-17 02:43:55
8567,2280,36554,341,297,503224,2025-05-17 03:29:05
9024,2396,38669,364,316,529497,2025-05-17 03:44:09
11079,2859,48319,426,408,666971,2025-05-17 04:59:28
12037,3111,52982,467,466,729998,2025-05-17 05:44:39
12597,3233,55711,473,496,765970,2025-05-17 06:14:46
13842,3517,61892,515,562,848342,2025-05-17 07:45:08
14176,3604,63719,528,580,873859,2025-05-17 08:30:20
14714,3725,66646,538,617,923020,2025-05-17 10:15:45
14833,3745,67235,542,630,934224,2025-05-17 10:45:52
15160,3832,69092,549,653,969973,2025-05-17 12:16:14
15666,3952,71692,569,686,1016464,2025-05-17 13:46:37
16354,4141,75028,592,717,1070313,2025-05-17 15:01:58
17121,4385,78611,624,764,1129747,2025-05-17 16:17:18
17392,4487,79786,630,781,1152887,2025-05-17 16:47:25
18306,4778,84036,676,832,1228106,2025-05-17 18:47:58
18807,4959,86434,691,861,1270956,2025-05-17 20:18:21
19474,5164,89669,709,895,1331743,2025-05-17 23:04:06
20049,5361,92433,727,924,1383680,2025-05-18 01:49:53
20512,5528,94516,746,947,1427515,2025-05-18 04:20:33
20986,5681,96823,764,969,1466734,2025-05-18 06:51:09
21278,5765,98353,774,995,1493246,2025-05-18 09:21:46
21414,5792,99048,780,1003,1507925,2025-05-18 11:22:17
21507,5824,99497,781,1009,1518123,2025-05-18 13:07:43
21732,5884,100593,786,1019,1534729,2025-05-18 15:08:14
22134,5986,102250,793,1038,1558397,2025-05-18 17:08:44
22518,6114,104017,813,1043,1581501,2025-05-18 20:09:31
22907,6260,105676,826,1049,1601207,2025-05-18 23:40:26
22961,6274,105848,828,1049,1604717,2025-05-19 02:26:09
22974,6283,105908,827,1049,1607106,2025-05-19 05:11:51
22978,6286,105939,828,1050,1608745,2025-05-19 08:42:44
22983,6288,105946,829,1051,1609452,2025-05-19 12:13:36
23008,6298,105992,830,1048,1611960,2025-05-19 19:47:49
23009,6300,106027,832,1048,1613378,2025-05-20 00:03:55
23003,6301,106024,832,1047,1613965,2025-05-20 02:34:34
22996,6301,106035,833,1047,1614960,2025-05-20 06:05:26
22994,6301,106037,833,1047,1615338,2025-05-20 08:36:04
22995,6301,106030,833,1043,1615566,2025-05-20 11:36:49
0,0,0,0,0,0,2025-05-16 23:34:11
