retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
23,33,436,2,3,4190,2025-05-14 00:04:02
26,34,454,2,3,4379,2025-05-14 00:20:02
27,34,464,2,3,4504,2025-05-14 00:36:03
28,34,477,2,3,4624,2025-05-14 00:52:04
28,34,482,2,3,4690,2025-05-14 01:08:04
28,35,488,2,3,4768,2025-05-14 01:24:04
29,35,491,2,3,4813,2025-05-14 01:40:05
29,36,494,2,3,4851,2025-05-14 01:56:05
29,36,497,2,3,4885,2025-05-14 02:12:05
29,37,499,2,3,4907,2025-05-14 02:28:07
29,37,500,2,3,4923,2025-05-14 02:44:07
29,37,502,2,3,4947,2025-05-14 03:00:07
29,37,503,2,3,4973,2025-05-14 03:16:08
29,37,502,2,3,4987,2025-05-14 03:32:08
29,37,503,2,3,5003,2025-05-14 03:48:09
29,37,504,2,3,5023,2025-05-14 04:04:09
29,36,506,2,3,5045,2025-05-14 04:20:09
30,36,511,2,3,5071,2025-05-14 04:36:10
30,37,513,2,3,5117,2025-05-14 04:52:10
30,38,514,2,3,5171,2025-05-14 05:08:10
30,39,519,2,3,5219,2025-05-14 05:24:11
30,41,526,2,3,5291,2025-05-14 05:40:11
30,41,536,2,3,5393,2025-05-14 05:56:11
30,42,540,2,3,5523,2025-05-14 06:12:12
31,43,549,2,3,5651,2025-05-14 06:28:13
31,43,556,2,3,5797,2025-05-14 06:44:13
31,44,570,2,3,5992,2025-05-14 07:00:15
31,45,581,2,3,6175,2025-05-14 07:16:15
31,46,592,2,3,6395,2025-05-14 07:32:15
32,47,606,2,3,6621,2025-05-14 07:48:16
33,48,617,2,3,6817,2025-05-14 08:04:16
33,50,623,2,3,7093,2025-05-14 08:20:16
33,50,638,2,3,7359,2025-05-14 08:36:17
36,53,645,3,3,7635,2025-05-14 08:52:17
37,55,657,3,3,7891,2025-05-14 09:08:17
38,55,673,3,3,8133,2025-05-14 09:24:18
38,57,681,4,3,8331,2025-05-14 09:40:19
39,58,695,4,3,8524,2025-05-14 09:56:19
39,58,699,4,3,8694,2025-05-14 10:12:20
39,60,703,4,3,8843,2025-05-14 10:28:20
39,62,707,4,3,9000,2025-05-14 10:44:21
39,63,711,4,3,9121,2025-05-14 11:00:22
39,64,715,4,3,9238,2025-05-14 11:16:22
40,66,721,4,3,9386,2025-05-14 11:32:23
40,66,726,4,3,9502,2025-05-14 11:48:23
40,68,730,4,3,9625,2025-05-14 12:04:24
40,68,739,4,3,9736,2025-05-14 12:20:24
