retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
103,71,380,20,9,16113,2025-05-16 16:13:08
143,102,526,22,17,25875,2025-05-16 17:28:21
171,135,606,24,20,32209,2025-05-16 18:43:32
192,164,687,29,21,35658,2025-05-16 19:58:52
205,190,759,29,24,40279,2025-05-16 21:14:14
222,229,851,32,28,66249,2025-05-16 22:29:37
235,256,925,38,28,80721,2025-05-17 00:03:15
245,268,965,41,29,89244,2025-05-17 01:08:31
249,274,986,41,30,93738,2025-05-17 01:58:13
249,280,993,40,30,96084,2025-05-17 02:28:51
256,288,1012,42,31,101265,2025-05-17 03:59:13
263,299,1040,42,31,105123,2025-05-17 05:14:31
272,306,1066,44,32,107896,2025-05-17 06:29:50
274,307,1087,45,33,109681,2025-05-17 08:00:12
281,312,1100,45,33,110686,2025-05-17 09:15:31
284,318,1110,45,33,111635,2025-05-17 11:00:56
283,319,1115,45,33,112250,2025-05-17 12:31:18
285,323,1126,45,33,113387,2025-05-17 14:01:41
287,326,1139,46,33,114831,2025-05-17 15:17:02
289,329,1149,47,33,117222,2025-05-17 17:02:29
291,331,1169,47,34,119807,2025-05-17 19:03:02
295,332,1176,47,34,123186,2025-05-17 21:18:36
295,332,1181,47,34,124446,2025-05-18 00:19:27
295,332,1184,47,36,124879,2025-05-18 03:20:18
295,332,1187,47,36,125391,2025-05-18 07:06:13
295,332,1189,47,36,125545,2025-05-18 10:22:01
295,332,1190,47,36,125597,2025-05-18 13:22:47
309,344,1241,50,41,158357,2025-05-18 17:23:47
319,351,1274,51,42,191029,2025-05-18 18:39:06
321,354,1290,51,44,204061,2025-05-18 20:24:35
321,356,1293,51,44,209547,2025-05-18 22:10:03
322,358,1300,51,44,214633,2025-05-19 00:55:45
322,358,1303,51,44,217823,2025-05-19 03:26:25
322,358,1305,51,44,219593,2025-05-19 05:26:55
322,358,1307,52,44,220539,2025-05-19 07:12:21
324,362,1308,52,44,221508,2025-05-19 10:43:14
324,362,1308,52,45,222093,2025-05-19 13:44:00
324,363,1313,52,46,223709,2025-05-19 18:32:30
323,363,1314,52,46,224253,2025-05-19 21:33:16
0,0,0,0,0,0,2025-05-16 14:39:49
