retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
133,149,525,13,13,43721,2025-05-17 19:18:06
223,238,750,19,15,55408,2025-05-17 20:33:24
291,339,964,24,17,62556,2025-05-17 21:48:44
397,467,1235,30,25,71172,2025-05-17 23:34:14
486,571,1517,36,28,77734,2025-05-18 00:49:36
615,707,1828,43,32,84837,2025-05-18 02:20:02
734,845,2166,47,35,92691,2025-05-18 03:50:26
803,949,2383,49,35,97778,2025-05-18 04:50:40
904,1109,2662,56,39,105821,2025-05-18 06:05:59
994,1225,2915,59,41,113321,2025-05-18 07:36:20
1055,1272,3097,61,43,117944,2025-05-18 08:36:35
1174,1350,3543,64,55,126983,2025-05-18 10:52:09
1222,1363,3700,66,58,129614,2025-05-18 11:52:24
1326,1405,3975,66,61,134707,2025-05-18 13:37:51
1502,1549,4440,77,65,145762,2025-05-18 15:38:21
1555,1618,4605,81,66,149645,2025-05-18 16:08:29
1799,1870,5338,96,78,170560,2025-05-18 19:24:18
1845,1899,5443,98,82,173304,2025-05-18 21:09:47
1893,1942,5621,100,83,177187,2025-05-19 00:10:33
1941,1961,5741,100,83,180053,2025-05-19 02:56:17
1963,1976,5797,103,85,181549,2025-05-19 04:41:43
1977,1993,5856,103,85,182993,2025-05-19 06:57:17
1996,1998,5893,103,87,184080,2025-05-19 09:12:52
2015,2003,5940,103,88,184817,2025-05-19 11:13:21
2025,2012,5982,103,89,185731,2025-05-19 14:14:07
2077,2038,6102,105,90,187744,2025-05-19 18:02:22
2076,2041,6114,106,89,188458,2025-05-19 21:03:08
2079,2043,6125,106,90,189073,2025-05-20 01:04:10
2082,2044,6133,106,91,189433,2025-05-20 03:49:52
2083,2044,6134,106,91,189672,2025-05-20 05:50:22
2084,2046,6137,106,91,189873,2025-05-20 08:21:00
2084,2049,6140,106,91,190052,2025-05-20 10:36:34
2084,2049,6142,106,90,190229,2025-05-20 13:37:19
2086,2051,6143,106,90,190354,2025-05-20 15:22:46
2087,2051,6142,107,90,190631,2025-05-20 17:53:24
2087,2052,6149,108,90,190777,2025-05-20 19:38:50
2086,2053,6149,108,90,190966,2025-05-20 21:54:24
0,0,0,0,0,0,2025-05-17 17:56:25
