retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
4,6,19,0,1,658,2025-05-26 18:01:46
9,19,71,1,3,3009,2025-05-26 18:46:58
13,33,106,2,3,5135,2025-05-26 19:32:10
15,45,132,2,4,7176,2025-05-26 20:17:21
17,55,172,4,4,10167,2025-05-26 21:27:03
20,66,201,4,4,12244,2025-05-26 22:12:15
21,68,221,4,4,13926,2025-05-26 22:57:28
22,72,235,4,6,14740,2025-05-26 23:42:40
25,73,239,4,6,15223,2025-05-27 00:27:51
