retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
17,13,237,1,1,1936,2025-05-27 12:45:52
25,15,320,1,1,2859,2025-05-27 13:31:04
31,21,403,1,2,3779,2025-05-27 14:31:21
36,22,461,1,2,4618,2025-05-27 15:31:36
40,24,497,1,2,5116,2025-05-27 16:16:48
40,31,556,1,2,5423,2025-05-27 17:17:03
47,34,611,1,3,5423,2025-05-27 18:17:19
54,37,730,1,4,9025,2025-05-27 20:47:59
60,43,790,1,5,10004,2025-05-27 22:03:20
62,43,838,2,5,10767,2025-05-27 23:03:34
62,43,860,2,6,11237,2025-05-28 00:03:49
63,46,886,2,6,11658,2025-05-28 02:19:22
64,48,895,2,6,11803,2025-05-28 04:19:53
66,48,909,2,6,11947,2025-05-28 05:50:17
67,48,956,2,6,12491,2025-05-28 07:50:47
70,50,1026,2,8,13539,2025-05-28 10:36:27
72,50,1042,2,8,13830,2025-05-28 11:21:39
77,51,1104,2,8,15205,2025-05-28 13:52:16
77,53,1133,2,8,15782,2025-05-28 15:07:35
78,54,1172,2,8,16829,2025-05-28 17:23:09
78,54,1190,2,8,17156,2025-05-28 18:08:22
80,54,1231,2,8,17898,2025-05-28 20:08:54
81,54,1267,2,8,18508,2025-05-28 21:54:22
81,53,1299,2,8,19052,2025-05-28 23:09:43
82,54,1318,2,8,19450,2025-05-29 00:40:06
82,54,1325,2,8,19613,2025-05-29 02:25:34
82,54,1329,2,9,19689,2025-05-29 03:55:58
84,54,1340,2,9,19825,2025-05-29 05:56:29
84,54,1349,2,9,19948,2025-05-29 06:56:43
85,55,1366,2,9,20196,2025-05-29 08:12:02
88,56,1402,2,9,20637,2025-05-29 09:42:25
89,57,1433,2,9,21067,2025-05-29 10:57:44
89,57,1451,2,9,21317,2025-05-29 12:43:11
89,57,1455,2,10,21374,2025-05-29 13:58:30
89,58,1457,2,10,21438,2025-05-29 16:29:07
89,58,1457,2,10,21479,2025-05-29 18:14:35
89,58,1458,2,10,21524,2025-05-29 20:45:14
89,58,1458,2,10,21552,2025-05-29 22:30:41
89,58,1458,2,10,21583,2025-05-30 01:16:24
89,58,1458,2,10,21592,2025-05-30 03:32:00
89,58,1458,2,10,21600,2025-05-30 18:31:00
0,0,0,0,0,0,2025-05-27 11:19:00
