retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
28,39,289,6,3,3954,2025-05-16 15:58:04
63,86,680,11,26,12924,2025-05-16 17:13:20
95,124,968,15,37,22183,2025-05-16 18:28:28
112,149,1179,18,46,31706,2025-05-16 19:43:48
129,173,1360,20,52,44028,2025-05-16 20:59:09
144,191,1523,22,59,56676,2025-05-16 22:14:32
159,205,1695,23,60,71214,2025-05-17 00:18:19
166,215,1740,24,63,74573,2025-05-17 01:23:35
167,224,1761,24,64,76752,2025-05-17 02:58:59
168,228,1772,24,64,77728,2025-05-17 04:14:16
171,231,1791,24,65,79424,2025-05-17 05:59:42
177,239,1857,25,66,83023,2025-05-17 07:30:04
185,242,1945,25,69,89072,2025-05-17 08:45:23
190,251,2026,27,71,93705,2025-05-17 09:30:34
199,256,2118,28,73,99767,2025-05-17 10:30:49
208,257,2190,30,75,103770,2025-05-17 11:15:59
224,271,2326,30,79,111708,2025-05-17 12:46:21
225,271,2353,30,81,113972,2025-05-17 13:16:29
232,277,2432,31,85,120839,2025-05-17 14:46:54
233,279,2469,33,89,125009,2025-05-17 15:32:06
237,286,2563,34,91,134269,2025-05-17 17:17:34
238,289,2600,34,92,137687,2025-05-17 18:02:46
248,302,2725,34,96,149712,2025-05-17 20:48:28
252,304,2782,37,97,155056,2025-05-17 22:03:48
262,307,2891,37,98,166376,2025-05-18 01:04:41
263,307,2920,37,99,169398,2025-05-18 02:35:06
265,308,2945,37,103,171234,2025-05-18 05:05:44
268,309,2980,37,104,173973,2025-05-18 07:51:24
269,312,3035,38,105,178286,2025-05-18 09:51:54
275,323,3091,38,107,182808,2025-05-18 12:07:28
279,323,3135,38,107,185249,2025-05-18 13:52:54
281,335,3169,38,107,187532,2025-05-18 15:53:25
284,335,3179,38,107,188885,2025-05-18 17:53:55
284,336,3187,38,107,190598,2025-05-18 21:24:51
284,336,3192,38,107,191577,2025-05-19 00:25:37
284,337,3193,38,107,191882,2025-05-19 03:11:21
284,337,3196,38,107,192156,2025-05-19 06:12:06
286,337,3208,38,107,193209,2025-05-19 09:27:56
286,337,3212,38,107,193647,2025-05-19 11:28:25
286,337,3215,38,107,194087,2025-05-19 14:29:11
286,340,3221,39,107,194577,2025-05-19 18:47:34
286,340,3224,39,107,195018,2025-05-19 22:48:36
0,0,0,0,0,0,2025-05-16 15:17:07
