retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
9,6,239,0,2,7089,2025-05-14 23:16:28
9,7,256,0,2,7764,2025-05-15 00:16:29
10,7,266,0,2,8055,2025-05-15 01:16:30
10,7,273,0,2,8173,2025-05-15 02:16:30
10,7,274,0,2,8264,2025-05-15 03:16:31
10,7,282,0,2,8363,2025-05-15 04:16:32
10,7,286,0,2,8517,2025-05-15 05:16:33
10,7,294,0,2,8823,2025-05-15 06:16:34
11,7,309,0,2,9542,2025-05-15 07:16:34
11,7,333,0,2,10362,2025-05-15 08:16:35
14,7,362,0,2,11248,2025-05-15 09:16:36
15,7,378,0,2,11922,2025-05-15 10:16:37
16,9,394,0,2,12518,2025-05-15 11:16:38
16,9,415,0,2,13090,2025-05-15 12:16:39
16,9,429,0,2,13608,2025-05-15 13:16:39
16,9,449,0,2,14186,2025-05-15 14:16:40
17,9,461,0,2,14641,2025-05-15 15:16:40
19,10,468,0,2,15164,2025-05-15 16:16:41
21,11,479,0,2,15787,2025-05-15 17:16:42
21,12,490,0,2,16294,2025-05-15 18:16:42
21,14,509,0,2,16815,2025-05-15 19:16:43
21,15,523,0,2,17290,2025-05-15 20:16:44
21,15,529,0,2,17573,2025-05-15 21:16:45
23,15,538,0,2,17870,2025-05-15 22:16:46
23,15,545,0,2,18102,2025-05-15 23:16:46
24,15,549,0,2,18251,2025-05-16 00:16:48
24,15,555,0,2,18322,2025-05-16 01:16:49
24,15,557,0,2,18353,2025-05-16 02:16:50
24,15,559,0,2,18370,2025-05-16 03:16:51
24,15,559,0,2,18392,2025-05-16 04:16:52
24,15,561,0,2,18400,2025-05-16 05:16:53
24,15,562,0,2,18449,2025-05-16 06:16:53
24,15,565,0,2,18525,2025-05-16 07:16:54
24,15,569,0,2,18615,2025-05-16 08:16:55
24,15,572,0,2,18693,2025-05-16 09:16:55
24,16,576,0,2,18745,2025-05-16 10:16:56
25,16,580,0,2,18809,2025-05-16 11:16:57
25,16,583,0,2,18889,2025-05-16 12:16:57
25,16,583,0,2,18948,2025-05-16 13:16:58
25,16,586,0,2,18984,2025-05-16 14:16:58
25,16,586,0,2,19020,2025-05-16 15:17:00
25,16,589,0,2,19092,2025-05-16 16:58:19
25,16,589,0,2,19161,2025-05-16 18:13:24
25,16,590,0,2,19209,2025-05-16 19:28:44
25,16,590,0,2,19248,2025-05-16 20:44:05
25,16,590,0,2,19268,2025-05-16 21:59:28
25,16,590,0,2,19304,2025-05-16 23:14:50
25,16,590,0,2,19347,2025-05-17 04:44:24
25,16,590,0,2,19356,2025-05-17 07:15:01
25,16,590,0,2,19399,2025-05-17 10:00:41
25,16,590,0,2,19422,2025-05-17 12:01:10
25,16,589,0,2,19437,2025-05-17 14:31:50
25,16,589,0,2,19448,2025-05-17 16:32:21
25,16,589,0,2,19483,2025-05-17 20:03:17
25,16,590,0,2,19523,2025-05-18 00:04:23
25,16,590,0,2,19534,2025-05-18 04:05:30
25,16,590,0,2,19542,2025-05-18 08:06:28
0,0,0,0,0,0,2025-05-14 19:24:21
