retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
0,2,31,0,0,337,2025-05-27 21:33:12
1,3,85,0,0,927,2025-05-27 22:18:23
6,5,148,0,1,1641,2025-05-27 23:33:42
6,7,167,0,1,1973,2025-05-28 00:18:53
7,7,178,0,1,2165,2025-05-28 01:49:14
10,7,181,0,1,2219,2025-05-28 02:34:26
11,7,188,0,1,2300,2025-05-28 04:34:57
12,9,208,0,1,2502,2025-05-28 06:35:28
13,10,228,0,1,2704,2025-05-28 07:20:40
15,10,260,0,1,3036,2025-05-28 08:20:55
20,12,306,0,1,3605,2025-05-28 09:36:13
25,14,341,0,1,4324,2025-05-28 10:51:31
26,14,359,0,1,4712,2025-05-28 11:51:46
27,14,378,0,1,5093,2025-05-28 13:07:05
29,14,394,0,1,5381,2025-05-28 14:22:24
31,15,411,0,1,5663,2025-05-28 15:37:42
32,16,423,0,1,5884,2025-05-28 16:37:58
36,19,446,0,1,6385,2025-05-28 18:38:30
37,19,451,0,1,6562,2025-05-28 19:23:42
37,19,463,0,1,6922,2025-05-28 21:09:10
37,19,470,0,1,7125,2025-05-28 22:09:27
42,20,491,0,1,7439,2025-05-28 23:54:55
43,21,494,0,1,7544,2025-05-29 00:55:10
43,21,501,0,1,7608,2025-05-29 02:40:38
43,22,503,0,1,7651,2025-05-29 04:11:02
43,22,505,0,1,7670,2025-05-29 04:56:14
43,22,516,0,1,7783,2025-05-29 07:11:47
43,24,525,0,1,7915,2025-05-29 08:27:06
44,27,540,0,1,8144,2025-05-29 10:12:33
44,27,551,0,1,8306,2025-05-29 11:42:56
45,27,555,0,1,8392,2025-05-29 12:58:15
46,27,559,0,1,8515,2025-05-29 14:43:41
46,28,560,0,1,8562,2025-05-29 15:28:52
47,28,566,0,1,8665,2025-05-29 17:14:19
47,28,574,0,1,8745,2025-05-29 18:44:43
47,28,575,0,2,8783,2025-05-29 20:00:02
47,28,577,0,2,8836,2025-05-29 22:15:37
47,28,577,0,2,8856,2025-05-29 23:46:01
47,28,578,0,2,8873,2025-05-30 02:16:40
47,28,578,0,2,8873,2025-05-30 04:17:12
47,28,581,0,2,9029,2025-05-30 18:34:00
0,0,0,0,0,0,2025-05-27 21:18:00
47,28,582,0,2,9048,2025-05-30 22:33:00
