retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
4,3,20,1,0,226,2025-05-27 12:30:48
10,15,65,2,0,830,2025-05-27 13:16:00
15,24,121,2,0,1502,2025-05-27 14:16:17
19,30,153,2,0,2034,2025-05-27 15:16:32
19,36,180,2,0,2436,2025-05-27 16:01:44
22,39,222,2,0,2752,2025-05-27 17:02:00
25,45,276,2,1,4532,2025-05-27 18:02:14
25,45,300,2,1,5125,2025-05-27 18:47:27
25,45,314,2,1,5441,2025-05-27 19:17:35
27,46,350,2,2,5938,2025-05-27 20:17:52
27,46,357,2,2,6068,2025-05-27 20:32:56
31,50,421,4,2,7864,2025-05-27 22:48:31
31,50,444,4,2,8323,2025-05-27 23:48:46
33,50,462,4,2,8545,2025-05-28 00:49:00
34,51,475,4,2,8750,2025-05-28 03:04:34
35,52,485,4,2,8893,2025-05-28 05:05:06
36,54,496,4,3,9176,2025-05-28 06:50:32
37,59,523,4,4,9782,2025-05-28 08:51:02
39,61,540,4,4,10159,2025-05-28 10:06:20
39,62,553,4,4,10793,2025-05-28 12:21:54
39,63,558,4,4,10999,2025-05-28 13:22:09
39,67,571,4,4,11515,2025-05-28 15:52:46
39,67,586,4,4,11960,2025-05-28 17:53:17
40,69,600,4,4,12332,2025-05-28 19:38:46
42,69,611,4,4,12618,2025-05-28 21:24:14
43,71,628,4,4,12891,2025-05-28 22:54:39
43,72,632,4,4,13065,2025-05-29 00:25:02
43,73,635,4,4,13146,2025-05-29 02:10:29
44,73,637,4,4,13203,2025-05-29 03:40:54
44,73,637,4,4,13235,2025-05-29 05:26:21
44,74,647,4,4,13343,2025-05-29 07:26:51
44,74,655,4,4,13480,2025-05-29 08:42:10
44,75,663,4,4,13659,2025-05-29 10:27:37
44,76,666,4,4,13808,2025-05-29 12:13:03
44,76,667,4,4,13895,2025-05-29 13:28:22
44,76,671,4,4,14009,2025-05-29 14:58:45
44,76,671,4,4,14072,2025-05-29 15:59:00
44,76,672,4,4,14204,2025-05-29 17:59:31
44,76,672,4,4,14253,2025-05-29 19:29:55
44,76,674,4,4,14296,2025-05-29 21:30:26
44,76,674,4,4,14324,2025-05-30 00:01:04
44,76,674,4,4,14346,2025-05-30 02:31:44
49,78,677,4,4,14400,2025-05-30 18:27:00
0,0,0,0,0,0,2025-05-27 12:15:00
