retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,timestamp
4457,2475,30451,300,1424,1876414,2025-05-17 21:33:40
7799,3751,55754,488,3007,5203833,2025-05-17 23:19:10
9632,4351,69688,546,3988,7458383,2025-05-18 00:34:32
11464,4955,82620,621,4744,9602565,2025-05-18 02:04:58
12960,5416,92467,676,5376,11286504,2025-05-18 03:35:22
13820,5690,98538,706,5703,12323199,2025-05-18 04:35:37
14843,5991,105359,733,6052,13552469,2025-05-18 05:50:55
15710,6292,112102,767,6438,14852555,2025-05-18 07:21:17
16165,6469,115781,785,6583,15649746,2025-05-18 08:21:32
16720,6669,120010,808,6831,16729019,2025-05-18 09:36:50
17090,6863,123052,822,7047,17615950,2025-05-18 10:37:05
17468,7070,125961,841,7235,18509123,2025-05-18 11:37:20
17825,7294,128820,858,7394,19347275,2025-05-18 12:37:35
18609,7619,134644,900,7709,20897709,2025-05-18 14:23:02
19059,7855,138083,914,7915,21827690,2025-05-18 15:23:17
20242,8395,146303,960,8320,24084620,2025-05-18 17:38:51
20899,8774,151576,984,8602,25544088,2025-05-18 19:09:14
21581,9207,156799,998,8921,26935155,2025-05-18 20:54:43
22259,9585,161140,1017,9171,27959749,2025-05-18 22:40:11
23095,10130,166837,1055,9479,29258483,2025-05-19 01:25:53
23778,10456,171113,1071,9749,30116794,2025-05-19 03:56:32
24219,10697,174225,1086,9893,30682661,2025-05-19 05:57:02
24599,10863,176492,1099,10010,31098369,2025-05-19 07:42:29
25002,11078,179196,1116,10137,31630484,2025-05-19 10:13:07
25417,11299,181676,1125,10261,32105764,2025-05-19 12:43:44
25666,11440,183032,1138,10318,32344118,2025-05-19 13:59:04
26078,11795,185289,1145,10430,32772973,2025-05-19 16:47:09
26441,12132,187306,1157,10557,33138938,2025-05-19 19:32:45
26666,12353,188778,1159,10589,33403805,2025-05-19 22:33:32
26738,12410,189294,1162,10586,33513037,2025-05-20 00:49:06
26795,12468,189773,1166,10600,33608990,2025-05-20 03:34:48
26824,12503,190050,1170,10602,33669311,2025-05-20 05:35:18
26913,12543,190304,1172,10614,33737610,2025-05-20 08:05:56
26938,12578,190477,1173,10615,33791674,2025-05-20 10:21:30
26953,12613,190669,1176,10621,33853230,2025-05-20 13:22:15
26962,12656,190787,1176,10619,33893439,2025-05-20 15:07:42
26992,12708,190717,1182,10615,33952979,2025-05-20 17:38:20
27040,12750,190871,1184,10611,33994355,2025-05-20 19:23:46
27037,12807,191035,1185,10614,34041057,2025-05-20 21:39:20
0,0,0,0,0,0,2025-05-17 20:31:12
